estado,porcentaje
AGUASCALIENTES,1.3
BAJA CALIFORNIA,3.9
BAJA CALIFORNIA SUR,0.7
CAMPECHE,1.9
COAHUILA DE ZARAGOZA,3.7
COLIMA,0.6
CHIAPAS,1.6
CHIHUAHUA,3.9
CIUDAD DE MÉXICO,14.8
DURANGO,1.3
GUANAJUATO,4.4
GUERRERO,1.3
HIDALGO,1.7
JALISCO,7.5
MEXICO,9.1
MICHOACAN DE OCAMPO,2.8
MORELOS,1.1
NAYARIT,0.7
NUEVO LEON,7.9
OAXACA,1.8
PUEBLA,3.5
QUERETARO DE ARTEAGA,2.4
QUINTANA ROO,1.6
SAN LUIS POTOSI,2.4
SINALOA,2.2
SONORA,3.4
TABASCO,2.4
TAMAULIPAS,3.0
TLAXCALA,0.6
VERACRUZ DE IGNACIO DE LA LLAVE,4.3
YUCATAN,1.6
ZACATECAS,1.0
